"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age Group"	"Age Group Code"	Population
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	58787
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	236153
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	315749
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	317379
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	327789
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	306182
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	307028
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	301295
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	342932
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	344000
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	309892
	"Alabama"	"01"	"1999"	"1999"	"50-54 years"	"50-54"	275759
	"Alabama"	"01"	"1999"	"1999"	"55-59 years"	"55-59"	220728
	"Alabama"	"01"	"1999"	"1999"	"60-64 years "	"60-64"	189814
	"Alabama"	"01"	"1999"	"1999"	"65-69 years"	"65-69"	167363
	"Alabama"	"01"	"1999"	"1999"	"70-74 years"	"70-74"	148565
	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	117897
	"Alabama"	"01"	"1999"	"1999"	"80-84 years"	"80-84"	76876
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	65953
"Total"	"Alabama"	"01"	"1999"	"1999"			4430141
	"Alabama"	"01"	"2000"	"2000"	"< 1 year"	"1"	59617
	"Alabama"	"01"	"2000"	"2000"	"1-4 years"	"1-4"	235568
	"Alabama"	"01"	"2000"	"2000"	"5-9 years"	"5-9"	313178
	"Alabama"	"01"	"2000"	"2000"	"10-14 years"	"10-14"	321372
	"Alabama"	"01"	"2000"	"2000"	"15-19 years"	"15-19"	325612
	"Alabama"	"01"	"2000"	"2000"	"20-24 years"	"20-24"	309170
	"Alabama"	"01"	"2000"	"2000"	"25-29 years"	"25-29"	298679
	"Alabama"	"01"	"2000"	"2000"	"30-34 years"	"30-34"	301179
	"Alabama"	"01"	"2000"	"2000"	"35-39 years"	"35-39"	338693
	"Alabama"	"01"	"2000"	"2000"	"40-44 years"	"40-44"	345820
	"Alabama"	"01"	"2000"	"2000"	"45-49 years"	"45-49"	316816
	"Alabama"	"01"	"2000"	"2000"	"50-54 years"	"50-54"	287948
	"Alabama"	"01"	"2000"	"2000"	"55-59 years"	"55-59"	226761
	"Alabama"	"01"	"2000"	"2000"	"60-64 years "	"60-64"	190880
	"Alabama"	"01"	"2000"	"2000"	"65-69 years"	"65-69"	167835
	"Alabama"	"01"	"2000"	"2000"	"70-74 years"	"70-74"	148805
